word,definition,category
rickettsia,Arthropod borne intracellular bacterium,Microbiology
mycoplasma,Bacterium lacking a cell wall,Microbiology
yeast,Single celled fungus,Microbiology
mold,Multicellular filamentous fungus,Microbiology
candida,Common opportunistic yeast,Microbiology
aspergillus,Filamentous fungal genus,Microbiology
cryptococcus,Encapsulated pathogenic yeast,Microbiology
dermatophyte,Fungus infecting skin and nails,Microbiology
protozoa,Single celled eukaryotic parasites,Microbiology
amoeba,Shape changing protozoan,Microbiology
plasmodium,Parasite causing malaria,Microbiology
toxoplasma,Protozoan parasite of humans,Microbiology
giardia,Flagellated intestinal parasite,Microbiology
trichomonas,Flagellated protozoan parasite,Microbiology
leishmania,Protozoan transmitted by sandflies,Microbiology
trypanosoma,Protozoan causing sleeping sickness,Microbiology
helminth,Parasitic worm,Microbiology
nematode,Roundworm parasite,Microbiology
cestode,Tapeworm parasite,Microbiology
trematode,Fluke parasite,Microbiology
adenovirus,Common respiratory virus,Microbiology
coronavirus,RNA virus affecting respiratory tract,Microbiology
influenza,Cause of seasonal flu,Microbiology
rhinovirus,Common cold virus,Microbiology
norovirus,Cause of viral gastroenteritis,Microbiology
rotavirus,Cause of severe childhood diarrhea,Microbiology
hepatitis,Virus affecting the liver,Microbiology
retrovirus,RNA virus using reverse transcription,Microbiology
lentivirus,Subclass of retrovirus,Microbiology
papillomavirus,DNA virus causing warts,Microbiology
herpesvirus,Virus causing latent infections,Microbiology
varicella,Cause of chickenpox,Microbiology
cytomegalovirus,Common herpesvirus pathogen,Microbiology
epsteinbarr,Virus causing mononucleosis,Microbiology
poxvirus,Large DNA virus family,Microbiology
arbovirus,Virus transmitted by arthropods,Microbiology
bacteriophage,Virus infecting bacteria,Microbiology
virion,Complete infectious virus particle,Microbiology
capsid,Protein coat of a virus,Microbiology
envelope,Outer lipid layer of some viruses,Microbiology
lysis,Destruction of a host cell,Microbiology
latency,Dormant viral state,Microbiology
incubationperiod,Time before symptoms appear,Microbiology
communicable,Capable of being transmitted,Microbiology
nosocomial,Acquired in a healthcare setting,Microbiology
opportunistic,Causing disease in weakened hosts,Microbiology
septicemia,Presence of pathogens in blood,Microbiology
bacteremia,Bacteria present in blood,Microbiology
viremia,Viruses present in blood,Microbiology
fungemia,Fungi present in blood,Microbiology
parasitology,Study of parasites,Microbiology
bacteriology,Study of bacteria,Microbiology
virology,Study of viruses,Microbiology
mycology,Study of fungi,Microbiology
microbiota,Community of microorganisms,Microbiology
microbiome,Genetic content of microbiota,Microbiology
probiotic,Beneficial microorganism,Microbiology
commensal,Microbe living without harm,Microbiology
symbiosis,Close biological association,Microbiology
pathology,Study of disease processes,Pathology
disease,Abnormal condition affecting the body,Pathology
lesion,Area of abnormal tissue change,Pathology
injury,Damage to tissue or organs,Pathology
necrosis,Uncontrolled death of cells,Pathology
apoptosis,Programmed cell death,Pathology
atrophy,Decrease in tissue size,Pathology
hypertrophy,Increase in cell size,Pathology
hyperplasia,Increase in cell number,Pathology
metaplasia,Replacement of one cell type by another,Pathology
dysplasia,Disordered cellular growth,Pathology
anaplasia,Loss of cellular differentiation,Pathology
degeneration,Progressive deterioration of tissue,Pathology
inflammation,Protective response to injury,Pathology
edema,Abnormal fluid accumulation,Pathology
exudate,Protein rich inflammatory fluid,Pathology
transudate,Low protein fluid accumulation,Pathology
congestion,Excess blood within vessels,Pathology
hemorrhage,Escape of blood from vessels,Pathology
hematoma,Localized collection of blood,Pathology
thrombus,Blood clot within a vessel,Pathology
embolus,Detached intravascular mass,Pathology
infarction,Tissue death due to ischemia,Pathology
ischemia,Reduced blood supply,Pathology
hypoxia,Reduced oxygen availability,Pathology
anoxia,Complete absence of oxygen,Pathology
shock,Circulatory failure causing hypoperfusion,Pathology
sepsis,Life threatening response to infection,Pathology
bacteremia,Bacteria present in blood,Pathology
toxemia,Toxins circulating in blood,Pathology
fever,Elevation of body temperature,Pathology
pyrexia,Medical term for fever,Pathology
cachexia,Wasting syndrome associated with disease,Pathology
cyanosis,Bluish discoloration from low oxygen,Pathology
jaundice,Yellow discoloration from bilirubin,Pathology
fibrosis,Excess fibrous tissue formation,Pathology
scar,Fibrous tissue replacing injury,Pathology
adhesion,Fibrous band connecting tissues,Pathology
ulcer,Loss of surface tissue,Pathology
abscess,Localized collection of pus,Pathology
granuloma,Chronic inflammatory lesion,Pathology
suppuration,Formation of pus,Pathology
necrobiosis,Degenerative cellular change,Pathology
gangrene,Necrosis with tissue decay,Pathology
calcification,Abnormal calcium deposition,Pathology
dystrophy,Degenerative tissue disorder,Pathology
amyloidosis,Deposition of amyloid protein,Pathology
amyloid,Abnormal extracellular protein,Pathology
mutation,Permanent genetic alteration,Pathology
carcinogen,Cancer causing agent,Pathology
oncogene,Gene promoting tumor development,Pathology
tumor,Abnormal tissue mass,Pathology
neoplasm,New abnormal growth,Pathology
benign,Noninvasive tumor type,Pathology
malignant,Cancerous invasive tumor type,Pathology
carcinoma,Malignant epithelial tumor,Pathology
sarcoma,Malignant connective tissue tumor,Pathology
adenoma,Benign glandular tumor,Pathology
lymphoma,Malignant lymphoid tumor,Pathology
leukemia,Malignancy of blood cells,Pathology
melanoma,Malignant tumor of melanocytes,Pathology
metastasis,Spread of cancer to distant sites,Pathology
invasion,Direct spread into adjacent tissue,Pathology
differentiation,Degree of cellular maturity,Pathology
grading,Assessment of tumor aggressiveness,Pathology
staging,Assessment of tumor extent,Pathology
dysplasiaepithelial,Precancerous epithelial change,Pathology
polyp,Mucosal tissue projection,Pathology
papilloma,Benign epithelial tumor,Pathology
adenocarcinoma,Malignant gland forming tumor,Pathology
teratoma,Tumor containing multiple tissue types,Pathology
blastoma,Tumor of immature cells,Pathology
hamartoma,Benign disorganized tissue growth,Pathology
cyst,Fluid filled sac,Pathology
pseudocyst,Cyst lacking epithelial lining,Pathology
necrotic,Affected by necrosis,Pathology
purulent,Containing pus,Pathology
serous,Watery fluid containing,Pathology
fibrinous,Containing fibrin deposits,Pathology
chronic,Long lasting condition,Pathology
acute,Sudden onset condition,Pathology
subacute,Intermediate disease duration,Pathology
relapse,Return of disease after improvement,Pathology
remission,Reduction of disease activity,Pathology
prognosis,Expected disease outcome,Pathology
diagnosis,Identification of disease,Pathology
screening,Testing before symptoms appear,Pathology
biopsy,Removal of tissue for examination,Pathology
cytology,Study of cells for diagnosis,Pathology
histology,Microscopic study of tissues,Pathology
autopsy,Postmortem examination,Pathology
pathogenesis,Mechanism of disease development,Pathology
etiology,Cause of disease,Pathology
idiopathic,Condition with unknown cause,Pathology
iatrogenic,Caused by medical treatment,Pathology
congenital,Present at birth,Pathology
acquired,Developed after birth,Pathology
hereditary,Passed through genes,Pathology
genetic,Related to genes,Pathology
syndrome,Group of associated findings,Pathology
disorder,Disturbance of normal function,Pathology
condition,State affecting health,Pathology
manifestation,Observable sign of disease,Pathology
symptom,Subjective evidence of disease,Pathology
sign,Objective evidence of disease,Pathology
morbidity,Disease occurrence rate,Pathology
mortality,Death occurrence rate,Pathology
prevalence,Existing cases in a population,Pathology
incidence,New cases in a population,Pathology
epidemic,Rapid increase of disease,Pathology
pandemic,Worldwide disease spread,Pathology
endemic,Constant disease presence,Pathology
infection,Invasion by pathogens,Pathology
infestation,Presence of parasites,Pathology
contagious,Capable of transmission,Pathology
opportunistic,Causing disease in weakened hosts,Pathology
immunity,Protection against disease,Pathology
autoimmune,Immune attack on self tissues,Pathology
allergy,Hypersensitivity reaction,Pathology
hypersensitivity,Exaggerated immune response,Pathology
anaphylaxis,Severe allergic reaction,Pathology
antibody,Immune response protein,Pathology
antigen,Substance triggering immunity,Pathology
necroinflammation,Necrosis with inflammation,Pathology
vasculitis,Inflammation of blood vessels,Pathology
arthritis,Inflammation of joints,Pathology
hepatitis,Inflammation of the liver,Pathology
nephritis,Inflammation of the kidney,Pathology
dermatitis,Inflammation of the skin,Pathology
gastritis,Inflammation of the stomach,Pathology
colitis,Inflammation of the colon,Pathology
pneumonia,Inflammation of lung tissue,Pathology
myocarditis,Inflammation of heart muscle,Pathology
encephalitis,Inflammation of the brain,Pathology
meningitis,Inflammation of the meninges,Pathology
osteomyelitis,Bone and marrow infection,Pathology
sclerosis,Abnormal tissue hardening,Pathology
stenosis,Abnormal narrowing,Pathology
occlusion,Blockage of a passage,Pathology
obstruction,Interference with normal flow,Pathology
rupture,Tearing of tissue,Pathology
perforation,Hole through an organ,Pathology
necrotizing,Causing tissue necrosis,Pathology
malformation,Abnormal structural development,Pathology
deformity,Abnormal body shape,Pathology
atrophic,Showing atrophy,Pathology
hypertrophic,Showing hypertrophy,Pathology
hyperplastic,Showing hyperplasia,Pathology
dysplastic,Showing dysplasia,Pathology
metastatic,Related to metastasis,Pathology
recovery,Return to normal health,Pathology
healing,Restoration of tissue integrity,Pathology
repair,Replacement of damaged tissue,Pathology
regeneration,Replacement with original tissue,Pathology
pharmacology,Study of drugs and their effects,Pharmacology
drug,Chemical substance used for treatment,Pharmacology
medication,Substance used to prevent or treat disease,Pharmacology
pharmacy,Science of preparing and dispensing drugs,Pharmacology
pharmacokinetics,Study of drug movement through the body,Pharmacology
pharmacodynamics,Study of drug effects on the body,Pharmacology
absorption,Movement of a drug into circulation,Pharmacology
distribution,Transport of a drug through the body,Pharmacology
metabolism,Chemical modification of a drug,Pharmacology
excretion,Removal of a drug from the body,Pharmacology
bioavailability,Fraction of drug reaching circulation,Pharmacology
clearance,Rate of drug elimination,Pharmacology
halflife,Time required for drug concentration to halve,Pharmacology
dose,Amount of drug administered,Pharmacology
dosage,Regimen of drug administration,Pharmacology
loadingdose,Initial larger drug dose,Pharmacology
maintenance,Dose required to sustain effect,Pharmacology
therapeutic,Producing desired medical effect,Pharmacology
toxicity,Harmful effect of a drug,Pharmacology
adverseeffect,Undesired effect of a drug,Pharmacology
sideeffect,Secondary effect of a drug,Pharmacology
contraindication,Reason a drug should not be used,Pharmacology
interaction,Effect of one drug on another,Pharmacology
synergism,Combined effect greater than expected,Pharmacology
antagonism,One drug reducing another's effect,Pharmacology
potency,Amount required to produce an effect,Pharmacology
efficacy,Maximum effect achievable,Pharmacology
agonist,Drug activating a receptor,Pharmacology
antagonist,Drug blocking a receptor,Pharmacology
partialagonist,Drug partially activating a receptor,Pharmacology
receptor,Protein target of a drug,Pharmacology
ligand,Molecule binding to a receptor,Pharmacology
affinity,Strength of receptor binding,Pharmacology
selectivity,Preference for a specific target,Pharmacology
tolerance,Reduced response after repeated use,Pharmacology
dependence,Need for continued drug use,Pharmacology
withdrawal,Symptoms after stopping a drug,Pharmacology
compliance,Following a treatment plan,Pharmacology
adherence,Consistency with prescribed therapy,Pharmacology
prescription,Authorization for medication use,Pharmacology
generic,Nonbrand drug name,Pharmacology
formulation,Specific drug preparation,Pharmacology
tablet,Solid oral dosage form,Pharmacology
capsule,Drug enclosed in a shell,Pharmacology
syrup,Liquid oral preparation,Pharmacology
injection,Administration by needle,Pharmacology
infusion,Slow administration into circulation,Pharmacology
topical,Applied to body surfaces,Pharmacology
oral,Administered by mouth,Pharmacology
intravenous,Administered into a vein,Pharmacology
intramuscular,Administered into muscle,Pharmacology
subcutaneous,Administered under the skin,Pharmacology
transdermal,Delivered through the skin,Pharmacology
analgesic,Drug relieving pain,Pharmacology
anesthetic,Drug producing loss of sensation,Pharmacology
sedative,Drug producing calmness,Pharmacology
hypnotic,Drug inducing sleep,Pharmacology
antipyretic,Drug reducing fever,Pharmacology
antiinflammatory,Drug reducing inflammation,Pharmacology
antibiotic,Drug active against bacteria,Pharmacology
antiviral,Drug active against viruses,Pharmacology
antifungal,Drug active against fungi,Pharmacology
antiparasitic,Drug active against parasites,Pharmacology
antiseptic,Agent preventing microbial growth,Pharmacology
disinfectant,Agent destroying microorganisms,Pharmacology
vaccine,Biological preparation inducing immunity,Pharmacology
immunoglobulin,Antibody preparation for therapy,Pharmacology
aspirin,Nonsteroidal antiinflammatory drug,Pharmacology
ibuprofen,Common nonsteroidal antiinflammatory drug,Pharmacology
naproxen,Long acting antiinflammatory drug,Pharmacology
paracetamol,Analgesic and antipyretic drug,Pharmacology
morphine,Opioid analgesic,Pharmacology
codeine,Mild opioid analgesic,Pharmacology
fentanyl,Potent synthetic opioid,Pharmacology
tramadol,Opioid pain medication,Pharmacology
lidocaine,Local anesthetic agent,Pharmacology
ketamine,Dissociative anesthetic drug,Pharmacology
propofol,Intravenous anesthetic drug,Pharmacology
diazepam,Benzodiazepine sedative,Pharmacology
lorazepam,Anxiolytic benzodiazepine,Pharmacology
midazolam,Short acting benzodiazepine,Pharmacology
alprazolam,Anxiety treatment benzodiazepine,Pharmacology
zolpidem,Hypnotic sleep medication,Pharmacology
fluoxetine,Selective serotonin reuptake inhibitor,Pharmacology
sertraline,Common antidepressant medication,Pharmacology
citalopram,Selective serotonin reuptake inhibitor,Pharmacology
amitriptyline,Tricyclic antidepressant,Pharmacology
haloperidol,Typical antipsychotic drug,Pharmacology
risperidone,Atypical antipsychotic drug,Pharmacology
olanzapine,Atypical antipsychotic drug,Pharmacology
clozapine,Atypical antipsychotic medication,Pharmacology
levodopa,Parkinson disease treatment,Pharmacology
dopamine,Neurotransmitter and therapeutic agent,Pharmacology
epinephrine,Adrenergic agonist drug,Pharmacology
norepinephrine,Vasopressor catecholamine,Pharmacology
atropine,Anticholinergic medication,Pharmacology
pilocarpine,Cholinergic agonist drug,Pharmacology
salbutamol,Bronchodilator beta agonist,Pharmacology
ipratropium,Anticholinergic bronchodilator,Pharmacology
theophylline,Bronchodilator methylxanthine,Pharmacology
prednisone,Corticosteroid medication,Pharmacology
dexamethasone,Potent corticosteroid,Pharmacology
hydrocortisone,Natural corticosteroid,Pharmacology
insulin,Hormone lowering blood glucose,Pharmacology
metformin,First line diabetes medication,Pharmacology
glibenclamide,Sulfonylurea antidiabetic drug,Pharmacology
glucagon,Hormone raising blood glucose,Pharmacology
levothyroxine,Synthetic thyroid hormone,Pharmacology
methimazole,Antithyroid medication,Pharmacology
omeprazole,Proton pump inhibitor,Pharmacology
pantoprazole,Acid reducing medication,Pharmacology
ranitidine,Histamine receptor blocker,Pharmacology
ondansetron,Antiemetic medication,Pharmacology
metoclopramide,Drug enhancing gastric motility,Pharmacology
loperamide,Antidiarrheal medication,Pharmacology
bisacodyl,Stimulant laxative,Pharmacology
heparin,Anticoagulant medication,Pharmacology
warfarin,Vitamin K antagonist anticoagulant,Pharmacology
enoxaparin,Low molecular weight heparin,Pharmacology
clopidogrel,Antiplatelet medication,Pharmacology
aspirinlow,Low dose antiplatelet therapy,Pharmacology
atorvastatin,Cholesterol lowering statin,Pharmacology
simvastatin,Lipid lowering statin,Pharmacology
amlodipine,Calcium channel blocker,Pharmacology
verapamil,Calcium channel blocker,Pharmacology
diltiazem,Cardiovascular calcium channel blocker,Pharmacology
losartan,Angiotensin receptor blocker,Pharmacology
enalapril,ACE inhibitor medication,Pharmacology
lisinopril,ACE inhibitor drug,Pharmacology
propranolol,Beta blocker medication,Pharmacology
metoprolol,Cardioselective beta blocker,Pharmacology
atenolol,Beta adrenergic blocker,Pharmacology
furosemide,Loop diuretic,Pharmacology
spironolactone,Potassium sparing diuretic,Pharmacology
hydrochlorothiazide,Thiazide diuretic,Pharmacology
nitroglycerin,Vasodilator for angina,Pharmacology
digoxin,Cardiac glycoside medication,Pharmacology
amiodarone,Antiarrhythmic medication,Pharmacology
quinidine,Class I antiarrhythmic drug,Pharmacology
ceftriaxone,Third generation cephalosporin,Pharmacology
amoxicillin,Penicillin class antibiotic,Pharmacology
penicillin,Classic beta lactam antibiotic,Pharmacology
vancomycin,Glycopeptide antibiotic,Pharmacology
azithromycin,Macrolide antibiotic,Pharmacology
doxycycline,Tetracycline antibiotic,Pharmacology
ciprofloxacin,Fluoroquinolone antibiotic,Pharmacology
gentamicin,Aminoglycoside antibiotic,Pharmacology
rifampicin,Antitubercular antibiotic,Pharmacology
isoniazid,Tuberculosis treatment medication,Pharmacology
acyclovir,Antiviral against herpes viruses,Pharmacology
oseltamivir,Influenza antiviral medication,Pharmacology
fluconazole,Azole antifungal medication,Pharmacology
amphotericin,Broad spectrum antifungal,Pharmacology
chloroquine,Antimalarial medication,Pharmacology
artemisinin,Antimalarial compound,Pharmacology
methotrexate,Antimetabolite medication,Pharmacology
cyclophosphamide,Alkylating chemotherapy agent,Pharmacology
tamoxifen,Selective estrogen receptor modulator,Pharmacology
imatinib,Targeted anticancer therapy,Pharmacology
monoclonal,Laboratory produced antibody therapy,Pharmacology
biologic,Therapeutic product from living systems,Pharmacology
cardiology,Study of the heart and circulation,Cardiology
heart,Muscular organ pumping blood,Cardiology
cardiac,Related to the heart,Cardiology
atrium,Upper chamber of the heart,Cardiology
ventricle,Lower chamber of the heart,Cardiology
septum,Wall separating heart chambers,Cardiology
valve,Structure controlling blood flow,Cardiology
aorta,Main artery leaving the heart,Cardiology
artery,Blood vessel carrying blood away from the heart,Cardiology
vein,Blood vessel carrying blood toward the heart,Cardiology
capillary,Smallest blood vessel,Cardiology
venule,Small vein branch,Cardiology
arteriole,Small artery branch,Cardiology
coronary,Related to blood supply of the heart,Cardiology
myocardium,Heart muscle layer,Cardiology
endocardium,Inner lining of the heart,Cardiology
epicardium,Outer heart layer,Cardiology
pericardium,Membrane surrounding the heart,Cardiology
perfusion,Delivery of blood to tissues,Cardiology
circulation,Movement of blood through the body,Cardiology
pulse,Pressure wave generated by heartbeats,Cardiology
heartbeat,Rhythmic contraction of the heart,Cardiology
systole,Phase of cardiac contraction,Cardiology
diastole,Phase of cardiac relaxation,Cardiology
cardiacoutput,Volume pumped by the heart per minute,Cardiology
strokevolume,Blood ejected with each heartbeat,Cardiology
bloodpressure,Force exerted by blood on vessel walls,Cardiology
hypertension,Elevated blood pressure,Cardiology
hypotension,Low blood pressure,Cardiology
hemodynamics,Study of blood flow,Cardiology
preload,Ventricular filling before contraction,Cardiology
afterload,Resistance against ventricular ejection,Cardiology
contractility,Strength of cardiac contraction,Cardiology
compliance,Ability to stretch under pressure,Cardiology
vascular,Related to blood vessels,Cardiology
vasodilation,Widening of blood vessels,Cardiology
vasoconstriction,Narrowing of blood vessels,Cardiology
endothelium,Inner vessel lining,Cardiology
intima,Innermost vessel layer,Cardiology
media,Middle vessel layer,Cardiology
adventitia,Outer vessel layer,Cardiology
hemoglobin,Oxygen carrying blood protein,Cardiology
hematocrit,Percentage of red blood cells,Cardiology
oxygenation,Addition of oxygen to blood,Cardiology
ischemia,Reduced blood supply,Cardiology
hypoxia,Reduced tissue oxygenation,Cardiology
infarction,Tissue death due to ischemia,Cardiology
necrosis,Death of tissue,Cardiology
angina,Chest pain due to ischemia,Cardiology
atherosclerosis,Plaque buildup in arteries,Cardiology
plaque,Fatty deposit in vessel walls,Cardiology
thrombus,Blood clot within a vessel,Cardiology
embolus,Detached intravascular clot or material,Cardiology
thrombosis,Formation of a blood clot,Cardiology
embolism,Obstruction caused by an embolus,Cardiology
stenosis,Abnormal narrowing of a vessel,Cardiology
occlusion,Complete blockage of a vessel,Cardiology
aneurysm,Localized vessel dilation,Cardiology
dissection,Tear within a vessel wall,Cardiology
arrhythmia,Abnormal heart rhythm,Cardiology
tachycardia,Fast heart rate,Cardiology
bradycardia,Slow heart rate,Cardiology
palpitation,Awareness of heartbeat,Cardiology
fibrillation,Rapid uncoordinated contractions,Cardiology
flutter,Rapid regular abnormal rhythm,Cardiology
extrasystole,Premature heartbeat,Cardiology
conduction,Transmission of electrical impulses,Cardiology
automaticity,Ability to generate impulses spontaneously,Cardiology
depolarization,Electrical activation of cells,Cardiology
repolarization,Return to resting electrical state,Cardiology
electrocardiogram,Recording of cardiac electrical activity,Cardiology
ecg,Abbreviation for electrocardiogram,Cardiology
ekg,Alternative abbreviation for electrocardiogram,Cardiology
pwave,ECG representation of atrial depolarization,Cardiology
qrs,ECG representation of ventricular depolarization,Cardiology
twave,ECG representation of ventricular repolarization,Cardiology
printerval,Time between atrial and ventricular activation,Cardiology
qtinterval,Measure of ventricular electrical activity,Cardiology
sinusrhythm,Normal cardiac rhythm,Cardiology
sinusnode,Natural pacemaker of the heart,Cardiology
avnode,Atrioventricular conduction node,Cardiology
bundlehis,Part of cardiac conduction pathway,Cardiology
purkinje,Terminal cardiac conduction fibers,Cardiology
pacemaker,Device regulating heart rhythm,Cardiology
defibrillator,Device correcting dangerous arrhythmias,Cardiology
echocardiography,Ultrasound imaging of the heart,Cardiology
ultrasound,Imaging using sound waves,Cardiology
doppler,Technique measuring blood flow,Cardiology
angiography,Imaging of blood vessels,Cardiology
catheterization,Insertion of a catheter into vessels,Cardiology
stent,Device keeping vessels open,Cardiology
bypass,Surgical rerouting of blood flow,Cardiology
revascularization,Restoration of blood supply,Cardiology
cardiomyopathy,Disease of heart muscle,Cardiology
dilated,Enlarged heart chamber condition,Cardiology
hypertrophic,Abnormal thickening of heart muscle,Cardiology
restrictive,Reduced ventricular filling disorder,Cardiology
heartfailure,Inability of heart to pump adequately,Cardiology
congestive,Heart failure with fluid accumulation,Cardiology
edema,Fluid accumulation in tissues,Cardiology
pulmonaryedema,Fluid accumulation in lungs,Cardiology
shock,Circulatory failure causing hypoperfusion,Cardiology
cardiogenic,Shock originating from heart dysfunction,Cardiology
myocarditis,Inflammation of heart muscle,Cardiology
endocarditis,Inflammation of endocardium,Cardiology
pericarditis,Inflammation of pericardium,Cardiology
rheumatic,Related to rheumatic heart disease,Cardiology
valvular,Related to heart valves,Cardiology
regurgitation,Backward flow through a valve,Cardiology
prolapse,Abnormal valve displacement,Cardiology
murmur,Abnormal heart sound,Cardiology
auscultation,Listening to internal body sounds,Cardiology
sphygmomanometer,Instrument measuring blood pressure,Cardiology
cholesterol,Lipid associated with cardiovascular risk,Cardiology
triglyceride,Blood lipid used for energy storage,Cardiology
lipoprotein,Particle transporting lipids,Cardiology
hdl,High density lipoprotein,Cardiology
ldl,Low density lipoprotein,Cardiology
statin,Cholesterol lowering medication,Cardiology
anticoagulant,Drug preventing clot formation,Cardiology
antiplatelet,Drug reducing platelet aggregation,Cardiology
heparin,Common anticoagulant medication,Cardiology
warfarin,Vitamin K antagonist anticoagulant,Cardiology
clopidogrel,Antiplatelet medication,Cardiology
aspirin,Antiplatelet and analgesic drug,Cardiology
aceinhibitor,Medication blocking angiotensin conversion,Cardiology
arb,Angiotensin receptor blocker,Cardiology
diuretic,Medication increasing urine production,Cardiology
nitroglycerin,Vasodilator used for angina,Cardiology
digoxin,Cardiac glycoside medication,Cardiology
amiodarone,Antiarrhythmic medication,Cardiology
troponin,Marker of cardiac injury,Cardiology
ckmb,Cardiac enzyme marker,Cardiology
biomarker,Measurable indicator of disease,Cardiology
screening,Testing before symptoms occur,Cardiology
prevention,Measures reducing disease risk,Cardiology
rehabilitation,Recovery after cardiovascular disease,Cardiology
exercise,Physical activity improving heart health,Cardiology
endurance,Ability to sustain activity,Cardiology
fitness,State of cardiovascular conditioning,Cardiology
metabolicsyndrome,Cluster of cardiovascular risk factors,Cardiology
diabetes,Disease increasing cardiovascular risk,Cardiology
obesity,Excess body fat accumulation,Cardiology
smoking,Major cardiovascular risk factor,Cardiology
lifestyle,Behavior influencing health outcomes,Cardiology
mortality,Rate of death in a population,Cardiology
morbidity,Rate of disease occurrence,Cardiology
prognosis,Expected outcome of disease,Cardiology
neurology,Study of the nervous system,Neurology
neuron,Nerve cell transmitting signals,Neurology
neuroglia,Supporting cells of nervous tissue,Neurology
astrocyte,Star shaped glial cell,Neurology
microglia,Immune cell of the central nervous system,Neurology
oligodendrocyte,Cell producing CNS myelin,Neurology
schwanncell,Cell producing peripheral myelin,Neurology
ependyma,Cell lining brain ventricles,Neurology
axon,Nerve fiber carrying impulses,Neurology
dendrite,Neuron extension receiving signals,Neurology
synapse,Junction between neurons,Neurology
myelin,Insulating sheath around nerves,Neurology
node,Gap between myelin segments,Neurology
ganglion,Cluster of nerve cell bodies,Neurology
nucleus,Collection of neurons in the CNS,Neurology
tract,Bundle of CNS nerve fibers,Neurology
nerve,Bundle of peripheral nerve fibers,Neurology
plexus,Network of intersecting nerves,Neurology
receptor,Sensory structure detecting stimuli,Neurology
impulse,Electrical signal in a neuron,Neurology
depolarization,Loss of membrane polarization,Neurology
repolarization,Restoration of resting membrane charge,Neurology
hyperpolarization,Increase in membrane potential difference,Neurology
neurotransmitter,Chemical messenger between neurons,Neurology
acetylcholine,Major neurotransmitter of motor neurons,Neurology
dopamine,Neurotransmitter involved in reward and movement,Neurology
serotonin,Neurotransmitter affecting mood,Neurology
gaba,Major inhibitory neurotransmitter,Neurology
glutamate,Major excitatory neurotransmitter,Neurology
norepinephrine,Neurotransmitter involved in arousal,Neurology
brain,Primary organ of the nervous system,Neurology
cerebrum,Largest region of the brain,Neurology
cortex,Outer layer of the cerebrum,Neurology
cerebellum,Brain region coordinating movement,Neurology
brainstem,Structure connecting brain and spinal cord,Neurology
midbrain,Upper portion of the brainstem,Neurology
pons,Middle portion of the brainstem,Neurology
medulla,Lower portion of the brainstem,Neurology
thalamus,Sensory relay center of the brain,Neurology
hypothalamus,Homeostatic control center,Neurology
pituitary,Endocrine gland controlled by hypothalamus,Neurology
pineal,Gland regulating circadian rhythm,Neurology
limbic,Region involved in emotion and memory,Neurology
amygdala,Brain structure processing emotions,Neurology
hippocampus,Brain structure important for memory,Neurology
basalganglia,Group of nuclei controlling movement,Neurology
ventricle,Fluid filled cavity in the brain,Neurology
csf,Cerebrospinal fluid,Neurology
meninges,Protective membranes around the CNS,Neurology
duramater,Outer meningeal layer,Neurology
arachnoid,Middle meningeal layer,Neurology
piamater,Inner meningeal layer,Neurology
spinalcord,Main CNS pathway,Neurology
cervical,Neck region of the spinal cord,Neurology
thoracic,Chest region of the spinal cord,Neurology
lumbar,Lower back spinal region,Neurology
sacral,Lowest spinal region,Neurology
reflex,Automatic response to a stimulus,Neurology
motor,Related to movement,Neurology
sensory,Related to sensation,Neurology
afferent,Conducting toward the CNS,Neurology
efferent,Conducting away from the CNS,Neurology
somatic,Related to voluntary control,Neurology
autonomic,Related to involuntary control,Neurology
sympathetic,Autonomic division preparing for action,Neurology
parasympathetic,Autonomic division promoting rest,Neurology
cranial,Related to cranial nerves,Neurology
vagus,Major parasympathetic nerve,Neurology
olfactory,Nerve responsible for smell,Neurology
optic,Nerve responsible for vision,Neurology
oculomotor,Nerve controlling eye movement,Neurology
trochlear,Cranial nerve IV,Neurology
trigeminal,Major sensory nerve of the face,Neurology
abducens,Cranial nerve VI,Neurology
facial,Nerve controlling facial expression,Neurology
vestibular,Nerve involved in hearing and balance,Neurology
glossopharyngeal,Cranial nerve IX,Neurology
hypoglossal,Nerve controlling tongue movement,Neurology
neuromuscular,Junction between nerve and muscle,Neurology
sarcolemma,Membrane of a muscle fiber,Neurology
conduction,Propagation of electrical signals,Neurology
excitability,Ability to respond to stimuli,Neurology
plasticity,Ability of the nervous system to adapt,Neurology
memory,Storage of information,Neurology
learning,Acquisition of knowledge or skills,Neurology
attention,Selective focus on stimuli,Neurology
consciousness,Awareness of self and environment,Neurology
arousal,State of alertness,Neurology
sleep,Physiological state of rest,Neurology
dreaming,Mental activity during sleep,Neurology
circadian,Biological daily rhythm,Neurology
perception,Interpretation of sensory information,Neurology
sensation,Detection of stimuli,Neurology
vision,Sense of sight,Neurology
hearing,Sense of sound,Neurology
balance,Maintenance of equilibrium,Neurology
taste,Sense detecting dissolved substances,Neurology
smell,Sense detecting airborne chemicals,Neurology
pain,Unpleasant sensory experience,Neurology
nociceptor,Pain detecting receptor,Neurology
proprioception,Sense of body position,Neurology
coordination,Organization of movement,Neurology
gait,Pattern of walking,Neurology
speech,Production of language,Neurology
language,System of communication,Neurology
aphasia,Language impairment,Neurology
dysarthria,Motor speech disorder,Neurology
seizure,Abnormal electrical brain activity,Neurology
epilepsy,Disorder characterized by recurrent seizures,Neurology
